,name,mean,std
0,MaxEStateIndex,12.607765015300066,1.9557612273162843
1,MinEStateIndex,-2.06038219575486,1.9534073513314156
2,MinAbsEStateIndex,0.12886610171873988,0.14214804872017886
3,qed,0.5410145654708479,0.21224011762861356
4,MolWt,466.77592992399855,226.33395169563437
5,NumRadicalElectrons,0.0001932242689681824,0.013899170239624527
6,FpDensityMorgan1,1.1165173659299963,0.16309425141188616
7,FpDensityMorgan2,1.8509920579064736,0.21697134394915654
8,FpDensityMorgan3,2.521811770608025,0.27361130910988474
9,BalabanJ,1.6353908437452696,0.38791512569292536
10,HallKierAlpha,-3.3058646911506626,1.6252113360305007
11,Ipc,3.6907999078518513e+130,4.4795343475719295e+132
12,PEOE_VSA1,15.860074461357673,15.516138194503759
13,PEOE_VSA10,9.789719242993899,11.874525273896058
14,PEOE_VSA11,4.392228242873095,5.5966498581723165
15,PEOE_VSA12,5.659936953775135,12.048777407580792
16,PEOE_VSA13,4.60600502352196,4.897279478303621
17,PEOE_VSA14,4.067306370803117,5.347744577015614
18,PEOE_VSA2,10.334653112125727,12.447745036783479
19,PEOE_VSA3,8.406236435117691,6.4601173492530775
20,PEOE_VSA4,6.658667424586732,7.830972295484458
21,PEOE_VSA5,2.3939741158527013,4.964530452613809
22,PEOE_VSA6,25.09315523485078,21.418709351620517
23,PEOE_VSA7,46.077429235708124,23.166714083729076
24,PEOE_VSA8,29.502117779349415,19.16932815391059
25,PEOE_VSA9,19.797928563657084,13.870645394332172
26,SMR_VSA1,19.46409733196985,16.529931130868206
27,SMR_VSA10,26.620333303526397,18.90858631023101
28,SMR_VSA2,0.651208898652901,1.8518551446414664
29,SMR_VSA3,16.497940378047304,14.19614161657396
30,SMR_VSA4,4.341601002590098,6.067723541091168
31,SMR_VSA5,33.335318256807724,30.59402715123746
32,SMR_VSA6,19.491506441572838,18.452202510006895
33,SMR_VSA7,63.13142049046424,25.841654431105304
34,SMR_VSA9,9.106006092941799,8.224999494899704
35,SlogP_VSA1,10.755962425063043,11.45512153076759
36,SlogP_VSA10,10.478615124297272,9.619569489573673
37,SlogP_VSA11,2.1435207026907115,3.9054853313259645
38,SlogP_VSA12,5.733140332593377,8.424969884967876
39,SlogP_VSA2,47.37959585250703,39.750878304051106
40,SlogP_VSA3,15.194076960004763,15.096766785507466
41,SlogP_VSA4,7.1148107246802565,7.957490868069721
42,SlogP_VSA5,33.72572581828876,23.656677340886056
43,SlogP_VSA6,48.77604461800516,21.47328245067794
44,SlogP_VSA7,1.238927758580617,2.8170741035961853
45,SlogP_VSA8,10.09901187986217,9.950889621444135
46,TPSA,100.51660762591783,81.83978331324852
47,EState_VSA1,17.499709416922155,33.22116561753897
48,EState_VSA10,16.681155206151065,15.159156701845777
49,EState_VSA11,0.17045328598504833,1.6563917170045113
50,EState_VSA2,20.613530086369565,18.184982620129663
51,EState_VSA3,23.761327217594822,16.238635895853328
52,EState_VSA4,25.912575318911394,20.636475460657394
53,EState_VSA5,14.226535934110135,13.736638356247429
54,EState_VSA6,20.7946744421491,16.598741499679733
55,EState_VSA7,23.121325140860545,19.34190878760616
56,EState_VSA8,21.638277652607847,17.283929746940228
57,EState_VSA9,8.21986849491148,9.045628752874439
58,VSA_EState1,25.120831138996742,26.533737660830614
59,VSA_EState10,1.8530136774499497,3.359321209989196
60,VSA_EState2,26.7550985553843,33.13885356084376
61,VSA_EState3,11.032068682361809,11.080581513491332
